No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,1,BH-18650-B1BA002,BT1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,,BH-18650-B1BA002,MYOUNG(美阳),C2988620,LCSC
2,2,10nF,"C1,C3",C0603,10nF,06031C103K4T2A,Kyocera AVX,C597087,LCSC
3,5,100nF,"C2,C4,C5,C7,C9",C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC
4,3,10uF,"C6,C10,C11",C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC
5,1,100pF,C8,C0603,100pF,0603CG101F500NT,FH(风华),C55722,LCSC
6,1,"0.91\"" I2C OLED  XH2.54-4 Connector",CON1,CONN-TH_XH2.54-4,,"0.91\"" I2C OLED  XH2.54-4 Connector",,C9900012082,LCSC
7,4,"PTVS30VS1UR,115","D1,D2,D3,D4",SOD-123_L2.6-W1.7-LS3.5-RD,,"PTVS30VS1UR,115",Nexperia(安世),C553410,LCSC
8,1,0451.400MRL,F1,0451.400MRL,400mA,0451.400MRL,Littelfuse,,
9,1,KH-BNC75-3511,KH-BNC-1,ANT-TH_KH-BNC75-3511,,KH-BNC75-3511,kinghelm(金航标),C2837588,LCSC
10,1,"BSH105,215",Q1,TO-236AB_L2.9-W1.3-P0.95-LS2.3-BR,,"BSH105,215",Nexperia(安世),C478010,LCSC
11,1,10Ω,R1,R0603,10Ω,AC0603FR-0710RL,YAGEO(国巨),C138286,LCSC
12,2,270Ω,"R2,R3",R0603,270Ω,RS-03K2700FT,FH(风华),C286581,LCSC
13,7,5.6kΩ,"R4,R5,R6,R7,R8,R9,R10",R0603,5.6kΩ,RMC06035.6K1%N,Tyohm(幸亚电阻),C325717,LCSC
14,1,100Ω,R11,R0805,100Ω,RT0805BRB07100RL,YAGEO(国巨),C706199,LCSC
15,1,620Ω,R12,R0805,620Ω,PTFR0805B620RN9,RESI(开步睿思）,C351557,LCSC
16,1,3.3kΩ,R13,R0805,3.3kΩ,PTFR0805B3K30N9,RESI(开步睿思）,C351569,LCSC
17,1,22kΩ,R14,R0805,22kΩ,PTFR0805B22K0N9,RESI(开步睿思）,C351592,LCSC
18,1,130kΩ,R15,R0805,130kΩ,PTFR0805B130KN9,RESI(开步睿思）,C351613,LCSC
19,3,270kΩ,"R16,R17,R18",R0805,270kΩ,PTFR0805B270KN9,RESI(开步睿思）,C351588,LCSC
20,1,SS-12D10L4,SW1,SW-TH_SS-12D10L3,,SS-12D10L4,XKB Connectivity(中国星坤),C843364,LCSC
21,1,BTSA-N-P-11,SW2,SW-TH_BTSA-X-P-11,,BTSA-N-P-11,ROCPU Switches(台普),C2888323,LCSC
22,1,ESP32,U1,NODEMCU-32SLUA,,NodeMCU-32SLua,Ai-Thinker,C111436,LCSC
23,1,ADS1115IDGST,U2,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,,ADS1115IDGST,TI(德州仪器),C468683,LCSC
24,1,REF3112AIDBZR,U3,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,REF3112AIDBZR,TI(德州仪器),C74223,LCSC
25,5,MAX4715EXK+T,"U4,U5,U6,U7,U8",SC-70-5_L2.0-W1.3-P0.65-LS2.1-BR,,MAX4715EXK+T,MAXIM(美信),C2651930,LCSC
26,1,ME6217C33P5G,U9,SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR,,ME6217C33P5G,MICRONE(南京微盟),C81592,LCSC
27,1,OPA2365AIDR,U10,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,OPA2365AIDR,TI(德州仪器),C130011,LCSC
